capacity,arm,m1,m2
2,HC_LI,125.0,148.0
2,HC_LI,130.0,169.0
2,HC_LI,106.0,121.0
2,HC_LI,97.0,179.0
2,HC_LI,106.0,154.0
2,HC_LI,111.0,188.0
2,HC_LI,135.0,174.0
2,HC_LI,120.0,130.0
2,HC_LI,121.0,174.0
2,HC_LI,125.0,198.0
2,HC_LI,101.0,150.0
2,HC_LI,101.0,173.0
2,LC_HI,146.0,165.0
2,LC_HI,97.0,126.0
2,LC_HI,95.0,140.0
2,LC_HI,115.0,129.0
2,LC_HI,106.0,139.0
2,LC_HI,77.0,111.0
2,LC_HI,121.0,165.0
2,LC_HI,126.0,189.0
2,LC_HI,131.0,164.0
2,LC_HI,141.0,131.0
2,LC_HI,121.0,168.0
2,LC_HI,115.0,155.0
2,LC_HI,92.0,87.0
2,LC_HI,92.0,140.0
2,LC_HI,125.0,150.0
2,LC_HI,125.0,184.0
2,LC_HI,111.0,160.0
2,LC_HI,101.0,154.0
2,LC_HI,117.0,126.0
2,LC_HI,116.0,150.0
2,LC_HI,106.0,217.0
2,LC_HI,96.0,131.0
2,LC_HI,77.0,120.0
2,LC_HI,135.0,159.0
2,LC_HI,111.0,198.0
2,LC_HI,150.0,208.0
2,LC_HI,111.0,121.0
2,LC_HI,110.0,164.0
2,LC_HI,106.0,160.0
2,LC_HI,106.0,160.0
2,LC_HI,92.0,140.0
2,LC_HI,116.0,169.0
2,LC_HI,63.0,115.0
2,LC_HI,106.0,150.0
2,LC_HI,96.0,135.0
2,LC_HI,86.0,139.0
2,LC_HI,111.0,115.0
2,LC_HI,106.0,135.0
2,LC_HI,116.0,146.0
2,LC_HI,121.0,165.0
2,LC_HI,116.0,228.0
2,LC_HI,107.0,140.0
2,LC_HI,106.0,194.0
2,LC_HI,92.0,125.0
2,LC_HI,87.0,134.0
2,LC_HI,67.0,105.0
2,LC_HI,116.0,165.0
2,LC_HI,136.0,199.0
2,LC_HI,140.0,188.0
2,LC_HI,111.0,130.0
2,LC_HI,96.0,131.0
2,LC_HI,125.0,148.0
2,LC_HI,101.0,150.0
2,LC_HI,96.0,101.0
2,LC_HI,150.0,164.0
2,LC_HI,102.0,96.0
2,LC_HI,87.0,130.0
2,LC_HI,140.0,188.0
2,LC_HI,78.0,77.0
2,LC_HI,106.0,165.0
2,LC_HI,115.0,189.0
2,LC_HI,63.0,115.0
2,LC_HI,116.0,189.0
2,LC_HI,102.0,149.0
2,LC_HI,126.0,159.0
2,LC_HI,144.0,164.0
2,LC_HI,122.0,135.0
2,LC_HI,63.0,115.0
2,LC_HI,121.0,169.0
2,LC_HI,130.0,111.0
2,LC_HI,91.0,168.0
2,LC_HI,116.0,179.0
2,LC_HI,121.0,189.0
2,LC_HI,135.0,218.0
2,LC_HI,126.0,159.0
2,LC_HI,92.0,179.0
2,LC_HI,116.0,150.0
2,LC_HI,81.0,155.0
2,LC_HI,82.0,97.0
2,LC_HI,121.0,169.0
2,LC_HI,77.0,120.0
2,LC_HI,126.0,126.0
2,LC_HI,131.0,145.0
2,LC_HI,97.0,131.0
2,LC_HI,131.0,175.0
2,LC_HI,145.0,189.0
2,LC_HI,92.0,106.0
2,LC_HI,131.0,180.0
2,LC_HI,150.0,208.0
2,LC_HI,111.0,164.0
2,LC_HI,111.0,125.0
2,LC_HI,97.0,189.0
2,LC_HI,126.0,170.0
2,LC_HI,78.0,116.0
2,LC_HI,145.0,193.0
2,LC_HI,161.0,214.0
2,LC_HI,130.0,154.0
2,LC_HI,111.0,135.0
2,LC_HI,101.0,159.0
2,LC_HI,135.0,203.0
2,LC_HI,107.0,165.0
2,LC_HI,106.0,160.0
2,LC_HI,82.0,90.0
2,LC_HI,92.0,87.0
2,LC_HI,107.0,156.0
2,LC_HI,136.0,179.0
2,LC_HI,107.0,179.0
2,LC_HI,126.0,159.0
2,LC_HI,135.0,183.0
2,LC_HI,101.0,135.0
2,LC_HI,116.0,158.0
2,LC_HI,87.0,125.0
2,LC_HI,121.0,145.0
2,LC_HI,82.0,121.0
2,LC_HI,102.0,116.0
2,LC_HI,73.0,77.0
2,LC_HI,107.0,135.0
2,LC_HI,107.0,165.0
2,LC_HI,151.0,145.0
2,LC_HI,97.0,164.0
2,LC_HI,67.0,105.0
2,LC_HI,101.0,154.0
2,LC_HI,92.0,120.0
2,LC_HI,130.0,218.0
2,LC_HI,86.0,169.0
2,LC_HI,130.0,184.0
2,LC_HI,141.0,131.0
2,LC_HI,111.0,115.0
2,LC_HI,121.0,209.0
2,LC_HI,130.0,198.0
2,LC_HI,92.0,131.0
2,LC_HI,96.0,169.0
2,LC_HI,121.0,126.0
2,LC_HI,105.0,119.0
2,LC_HI,155.0,213.0
2,LC_HI,97.0,140.0
2,LC_HI,77.0,120.0
2,LC_HI,111.0,198.0
2,LC_HI,82.0,97.0
2,LC_HI,101.0,164.0
2,LC_HI,126.0,155.0
2,LC_HI,150.0,193.0
2,LC_HI,116.0,228.0
2,LC_HI,101.0,116.0
2,LC_HI,141.0,155.0
2,LC_HI,125.0,183.0
