regime,model,size,arm,favorable_corner,makespan
E1_c2,abstraction,4,HC_LI,HC_HI,126.0
E1_c2,abstraction,4,HC_LI,HC_HI,111.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,130.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,125.0
E1_c2,abstraction,4,HC_LI,HC_HI,107.0
E1_c2,abstraction,4,HC_LI,HC_HI,111.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,145.0
E1_c2,abstraction,4,HC_LI,HC_HI,95.0
E1_c2,abstraction,4,HC_LI,HC_HI,175.0
E1_c2,abstraction,4,HC_LI,HC_HI,131.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,131.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,141.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,96.0
E1_c2,abstraction,4,HC_LI,HC_HI,81.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,130.0
E1_c2,abstraction,4,HC_LI,HC_HI,121.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,125.0
E1_c2,abstraction,4,HC_LI,HC_HI,92.0
E1_c2,abstraction,4,HC_LI,HC_HI,121.0
E1_c2,abstraction,4,HC_LI,HC_HI,126.0
E1_c2,abstraction,4,HC_LI,HC_HI,110.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,116.0
E1_c2,abstraction,4,HC_LI,HC_HI,116.0
E1_c2,abstraction,4,HC_LI,HC_HI,126.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,100.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,145.0
E1_c2,abstraction,4,HC_LI,HC_HI,121.0
E1_c2,abstraction,4,HC_LI,HC_HI,105.0
E1_c2,abstraction,4,HC_LI,HC_HI,130.0
E1_c2,abstraction,4,HC_LI,HC_HI,150.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,121.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,100.0
E1_c2,abstraction,4,HC_LI,HC_HI,110.0
