config,capacities,total_cap,arm,makespan
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,62.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,131.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,82.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,139.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,136.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,91.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,134.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,165.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,97.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,131.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,165.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,100.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,96.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,72.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,96.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,91.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,67.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,150.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,136.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,165.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,169.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,92.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,149.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,91.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,126.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,96.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,150.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,97.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,151.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,109.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,96.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,92.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,155.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,96.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,144.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,110.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,82.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,140.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,92.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,114.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_HI,121.0
