cell,size,arm,policy,makespan
E2_c2|batched,6,random,P1,131.0
E2_c2|batched,6,random,P1,179.0
E2_c2|batched,6,random,P1,164.0
E2_c2|batched,6,random,P1,120.0
E2_c2|batched,6,random,P1,169.0
E2_c2|batched,6,random,P1,116.0
E2_c2|batched,6,random,P1,101.0
E2_c2|batched,6,random,P1,111.0
E2_c2|batched,6,random,P1,139.0
E2_c2|batched,6,random,P1,130.0
E2_c2|batched,6,random,P1,165.0
E2_c2|batched,6,random,P1,155.0
E2_c2|batched,6,random,P1,135.0
E2_c2|batched,6,random,P1,145.0
E2_c2|batched,6,random,P1,145.0
E2_c2|batched,6,random,P1,130.0
E2_c2|batched,6,random,P1,111.0
E2_c2|batched,6,random,P1,189.0
E2_c2|batched,6,random,P1,131.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,223.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,193.0
E2_c2|batched,6,favorable,P_fcfs,198.0
E2_c2|batched,6,favorable,P_fcfs,224.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,194.0
E2_c2|batched,6,favorable,P_fcfs,183.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,125.0
E2_c2|batched,6,favorable,P_fcfs,164.0
E2_c2|batched,6,favorable,P_fcfs,159.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,198.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,165.0
E2_c2|batched,6,favorable,P_fcfs,145.0
E2_c2|batched,6,favorable,P_fcfs,149.0
E2_c2|batched,6,favorable,P_fcfs,214.0
E2_c2|batched,6,favorable,P_fcfs,170.0
E2_c2|batched,6,favorable,P_fcfs,209.0
E2_c2|batched,6,favorable,P_fcfs,184.0
E2_c2|batched,6,favorable,P_fcfs,159.0
E2_c2|batched,6,favorable,P_fcfs,169.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,139.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,203.0
E2_c2|batched,6,favorable,P_fcfs,149.0
E2_c2|batched,6,favorable,P_fcfs,227.0
E2_c2|batched,6,favorable,P_fcfs,217.0
E2_c2|batched,6,favorable,P_fcfs,223.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,144.0
E2_c2|batched,6,favorable,P_fcfs,135.0
E2_c2|batched,6,favorable,P_fcfs,139.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,218.0
E2_c2|batched,6,favorable,P_fcfs,145.0
E2_c2|batched,6,favorable,P_fcfs,208.0
E2_c2|batched,6,favorable,P_fcfs,168.0
E2_c2|batched,6,favorable,P_fcfs,165.0
E2_c2|batched,6,favorable,P_fcfs,150.0
E2_c2|batched,6,favorable,P_fcfs,219.0
E2_c2|batched,6,favorable,P_fcfs,228.0
E2_c2|batched,6,favorable,P_fcfs,175.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,179.0
E2_c2|batched,6,favorable,P_fcfs,100.0
E2_c2|batched,6,favorable,P_fcfs,111.0
E2_c2|batched,6,favorable,P_fcfs,175.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,243.0
E2_c2|batched,6,favorable,P_fcfs,139.0
E2_c2|batched,6,favorable,P_fcfs,126.0
E2_c2|batched,6,favorable,P_fcfs,170.0
