regime,model,size,policy,arm,favorable_corner,makespan,stagger_cv
E1_c2,abstraction,4,fifo,random,HC_HI,130.35114165239816,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,115.71585326228052,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,83.93843608911591,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,82.82249257402472,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,147.13317295032888,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,151.18892404074546,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,152.26114983814068,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.91014542447942,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,162.07269469724832,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,109.4577151936348,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.4179242317552,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,126.0394277104873,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.99424842969606,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,102.51466733686482,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,156.7046800152698,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.61427971084777,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,156.3291435693078,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.28132393413867,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,151.230057980959,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,147.03509815640788,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,87.78454538599,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.61876209368828,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,122.08490368288861,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,112.15452947903061,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.4693521619189,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,103.24840394906258,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,122.36471785650744,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,180.6546117947278,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,68.5156321576161,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,101.58565849054021,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.86899250108871,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.43768492288149,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,141.91881976024564,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,146.86206736959525,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,111.59589732348829,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.50230944304923,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.92815308707662,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,140.4888563616614,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,118.24585891045274,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,147.26709104174168,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,94.27460100965376,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,87.53062879324116,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,83.87233868184688,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,118.39839271518059,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,125.74428046725042,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,125.38109287700703,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,92.5930100437524,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,145.65548465790644,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,132.34623782337164,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,128.10204302134372,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.38490053091724,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,126.47129982875612,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,161.02199705516932,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.35607907548294,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,155.5690890597242,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,160.43922344043824,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,152.9587201281342,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,91.63883957245119,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,87.97525010277494,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,180.60294848278596,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,135.2109953204471,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.80970973912272,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,98.28520592394692,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,116.94480533148288,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,121.9260980333083,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,77.54132934870998,0.5
E1_c2,abstraction,4,fifo,random,HC_HI,117.06559391039988,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,152.14210137054056,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.49048828104094,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,160.50842292774144,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.65697135022413,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,165.63372577337023,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,136.07367855447947,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,85.86025724650615,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.6710022142542,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,150.92663206163394,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,81.81200989551073,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.64373889888468,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,106.49020622224126,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,107.38603434958262,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,96.46623927394566,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.70770653952425,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,190.87124388161277,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,108.3961918091776,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,160.90394501557697,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,115.37359280855017,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.4655992618408,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,84.60369201946244,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,86.28933344828627,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,85.49263127557924,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.2282735200323,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.75475351384594,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,117.78226006382663,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.41833883471983,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.32954592570175,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,137.6600973648608,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,133.37423290626293,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,118.90674340537159,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,99.25405921420813,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,101.1566075112081,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,141.0791315693312,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,126.16606422924053,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,107.53429426590279,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,160.58592902462965,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,96.4846709966844,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,133.74587836007902,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,99.05384165747343,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.45846314984956,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,112.76316627333227,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,86.94891559594903,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,130.82247759705027,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,81.40807582146755,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,105.94896050718073,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,102.41613442829532,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,132.43506873113162,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.6073739851507,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,131.9208631440202,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,83.53935765989274,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,136.42241297901592,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,99.36256065272103,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,145.81389252185483,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,140.8463521440137,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,111.29755598340185,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,88.4359126993609,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,155.81626914483905,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,102.5394909468786,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,92.44186822491946,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.73006247791645,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,122.18544434803934,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,121.55665118301219,0.5
E1_c2,abstraction,4,fifo,favorable,HC_HI,166.39521360203673,0.5
