regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,random,184.0,210.0
E1_c2,abstraction,random,175.0,220.0
E1_c2,abstraction,random,130.0,194.0
E1_c2,abstraction,random,209.0,232.0
E1_c2,abstraction,random,150.0,233.0
E1_c2,abstraction,random,179.0,247.0
E1_c2,abstraction,random,213.0,238.0
E1_c2,abstraction,random,203.0,243.0
E1_c2,abstraction,random,198.0,217.0
E1_c2,abstraction,random,173.0,258.0
E1_c2,abstraction,random,243.0,262.0
E1_c2,abstraction,random,169.0,247.0
E1_c2,abstraction,random,140.0,206.0
E1_c2,abstraction,random,218.0,291.0
E1_c2,abstraction,random,144.0,200.0
E1_c2,abstraction,random,148.0,206.0
E1_c2,abstraction,random,149.0,222.0
E1_c2,abstraction,random,178.0,287.0
E1_c2,abstraction,random,193.0,282.0
E1_c2,abstraction,random,218.0,286.0
E1_c2,abstraction,random,160.0,234.0
E1_c2,abstraction,random,159.0,243.0
E1_c2,abstraction,random,155.0,209.0
E1_c2,abstraction,random,135.0,217.0
E1_c2,abstraction,random,179.0,276.0
E1_c2,abstraction,random,159.0,223.0
E1_c2,abstraction,HC_HI,144.0,236.0
E1_c2,abstraction,HC_HI,218.0,294.0
E1_c2,abstraction,HC_HI,193.0,234.0
E1_c2,abstraction,HC_HI,188.0,263.0
E1_c2,abstraction,HC_HI,164.0,265.0
E1_c2,abstraction,HC_HI,204.0,291.0
E1_c2,abstraction,HC_HI,184.0,271.0
E1_c2,abstraction,HC_HI,164.0,251.0
E1_c2,abstraction,HC_HI,164.0,238.0
E1_c2,abstraction,HC_HI,155.0,252.0
E1_c2,abstraction,HC_HI,184.0,271.0
E1_c2,abstraction,HC_HI,159.0,244.0
E1_c2,abstraction,HC_HI,158.0,257.0
E1_c2,abstraction,HC_HI,183.0,240.0
E1_c2,abstraction,HC_HI,218.0,293.0
E1_c2,abstraction,HC_HI,154.0,219.0
E1_c2,abstraction,HC_HI,178.0,273.0
E1_c2,abstraction,HC_HI,164.0,226.0
E1_c2,abstraction,HC_HI,120.0,178.0
E1_c2,abstraction,HC_HI,158.0,247.0
E1_c2,abstraction,HC_HI,169.0,228.0
E1_c2,abstraction,HC_HI,154.0,188.0
E1_c2,abstraction,HC_HI,194.0,240.0
E1_c2,abstraction,HC_HI,149.0,236.0
E1_c2,abstraction,HC_HI,139.0,252.0
E1_c2,abstraction,HC_HI,208.0,271.0
E1_c2,abstraction,HC_HI,204.0,222.0
E1_c2,abstraction,HC_HI,193.0,314.0
E1_c2,abstraction,HC_HI,130.0,228.0
E1_c2,abstraction,HC_HI,184.0,245.0
E1_c2,abstraction,HC_HI,174.0,231.0
E1_c2,abstraction,HC_HI,174.0,227.0
E1_c2,abstraction,HC_HI,213.0,262.0
E1_c2,abstraction,HC_HI,184.0,277.0
E1_c2,abstraction,HC_HI,125.0,169.0
E1_c2,abstraction,HC_HI,178.0,263.0
E1_c2,abstraction,HC_HI,189.0,256.0
E1_c2,abstraction,HC_HI,159.0,236.0
E1_c2,abstraction,HC_HI,198.0,238.0
E1_c2,abstraction,HC_HI,193.0,260.0
E1_c2,abstraction,HC_HI,193.0,276.0
E1_c2,abstraction,HC_HI,174.0,260.0
E1_c2,abstraction,HC_HI,134.0,219.0
E1_c2,abstraction,HC_HI,198.0,258.0
E1_c2,abstraction,HC_HI,183.0,237.0
E1_c2,abstraction,HC_HI,228.0,295.0
E1_c2,abstraction,HC_HI,125.0,169.0
E1_c2,abstraction,HC_HI,165.0,214.0
E1_c2,abstraction,HC_HI,155.0,207.0
E1_c2,abstraction,HC_HI,174.0,274.0
E1_c2,abstraction,HC_HI,208.0,255.0
E1_c2,abstraction,HC_HI,199.0,274.0
E1_c2,abstraction,HC_HI,188.0,274.0
E1_c2,abstraction,HC_HI,212.0,260.0
E1_c2,abstraction,HC_HI,228.0,315.0
E1_c2,abstraction,HC_HI,203.0,290.0
E1_c2,abstraction,HC_HI,165.0,214.0
E1_c2,abstraction,HC_HI,165.0,214.0
E1_c2,abstraction,HC_HI,183.0,253.0
E1_c2,abstraction,HC_HI,189.0,256.0
E1_c2,abstraction,HC_HI,159.0,232.0
E1_c2,abstraction,HC_HI,179.0,259.0
E1_c2,abstraction,HC_HI,164.0,261.0
E1_c2,abstraction,HC_HI,189.0,238.0
E1_c2,abstraction,HC_HI,145.0,218.0
E1_c2,abstraction,HC_HI,193.0,241.0
E1_c2,abstraction,HC_HI,115.0,223.0
E1_c2,abstraction,HC_HI,193.0,283.0
E1_c2,abstraction,HC_HI,183.0,261.0
E1_c2,abstraction,HC_HI,168.0,265.0
E1_c2,abstraction,HC_HI,148.0,211.0
E1_c2,abstraction,HC_HI,135.0,240.0
E1_c2,abstraction,HC_HI,135.0,229.0
E1_c2,abstraction,HC_HI,167.0,214.0
