config_id,F,n_amrs,n_elevators,demand,model,size,policy,makespan
3,3,15,2,clustered,batched,8,P3_dir_balanced,114.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,100.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,133.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,152.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,95.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,81.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,95.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,100.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,138.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,86.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,99.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,90.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,124.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,76.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,104.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,105.0
3,3,15,2,clustered,batched,8,P3_dir_balanced,114.0
3,3,15,2,clustered,batched,8,P4_temporal,95.0
3,3,15,2,clustered,batched,8,P4_temporal,152.0
3,3,15,2,clustered,batched,8,P4_temporal,110.0
3,3,15,2,clustered,batched,8,P4_temporal,90.0
3,3,15,2,clustered,batched,8,P4_temporal,124.0
3,3,15,2,clustered,batched,8,P4_temporal,90.0
3,3,15,2,clustered,batched,8,P4_temporal,119.0
3,3,15,2,clustered,batched,8,P4_temporal,99.0
3,3,15,2,clustered,batched,8,P4_temporal,133.0
3,3,15,2,clustered,batched,8,P4_temporal,119.0
3,3,15,2,clustered,batched,8,P4_temporal,57.0
3,3,15,2,clustered,batched,8,P4_temporal,119.0
3,3,15,2,clustered,batched,8,P4_temporal,95.0
3,3,15,2,clustered,batched,8,P4_temporal,105.0
3,3,15,2,clustered,batched,8,P4_temporal,119.0
3,3,15,2,clustered,batched,8,P4_temporal,71.0
3,3,15,2,clustered,batched,8,P4_temporal,138.0
3,3,15,2,clustered,batched,8,P4_temporal,114.0
3,3,15,2,clustered,batched,8,P4_temporal,75.0
3,3,15,2,clustered,batched,8,P4_temporal,81.0
3,3,15,2,clustered,batched,8,P5_phi,62.0
3,3,15,2,clustered,batched,8,P5_phi,57.0
3,3,15,2,clustered,batched,8,P5_phi,123.0
3,3,15,2,clustered,batched,8,P5_phi,71.0
3,3,15,2,clustered,batched,8,P5_phi,62.0
3,3,15,2,clustered,batched,8,P5_phi,81.0
3,3,15,2,clustered,batched,8,P5_phi,76.0
3,3,15,2,clustered,batched,8,P5_phi,76.0
3,3,15,2,clustered,batched,8,P5_phi,76.0
3,3,15,2,clustered,batched,8,P5_phi,76.0
3,3,15,2,clustered,batched,8,P5_phi,81.0
3,3,15,2,clustered,batched,8,P5_phi,70.0
3,3,15,2,clustered,batched,8,P5_phi,109.0
3,3,15,2,clustered,batched,8,P5_phi,81.0
3,3,15,2,clustered,batched,8,P5_phi,104.0
3,3,15,2,clustered,batched,8,P5_phi,104.0
3,3,15,2,clustered,batched,8,P5_phi,123.0
3,3,15,2,clustered,batched,8,P5_phi,76.0
3,3,15,2,clustered,batched,8,P5_phi,81.0
3,3,15,2,clustered,batched,8,P5_phi,75.0
3,3,15,2,clustered,batched,8,P6_spo_tree,104.0
3,3,15,2,clustered,batched,8,P6_spo_tree,114.0
3,3,15,2,clustered,batched,8,P6_spo_tree,128.0
