config_id,F,n_amrs,n_elevators,demand,size,scheme,corner,makespan
1,3,5,2,uniform,16,2x2_CI,random,232.0
1,3,5,2,uniform,16,2x2_CI,random,146.0
1,3,5,2,uniform,16,2x2_CI,random,152.0
1,3,5,2,uniform,16,2x2_CI,random,183.0
1,3,5,2,uniform,16,2x2_CI,random,181.0
1,3,5,2,uniform,16,2x2_CI,random,189.0
1,3,5,2,uniform,16,2x2_CI,random,209.0
1,3,5,2,uniform,16,2x2_CI,random,184.0
1,3,5,2,uniform,16,2x2_CI,random,203.0
1,3,5,2,uniform,16,2x2_CI,random,175.0
1,3,5,2,uniform,16,2x2_CI,random,169.0
1,3,5,2,uniform,16,2x2_CI,random,142.0
1,3,5,2,uniform,16,2x2_CI,random,194.0
1,3,5,2,uniform,16,2x2_CI,random,213.0
1,3,5,2,uniform,16,2x2_CI,random,185.0
1,3,5,2,uniform,16,2x2_CI,random,171.0
1,3,5,2,uniform,16,2x2_CI,random,160.0
1,3,5,2,uniform,16,2x2_CI,random,151.0
1,3,5,2,uniform,16,2x2_CI,random,228.0
1,3,5,2,uniform,16,2x2_CI,random,166.0
1,3,5,2,uniform,16,2x2_CI,random,175.0
1,3,5,2,uniform,16,2x2_CI,random,204.0
1,3,5,2,uniform,16,2x2_CI,random,183.0
1,3,5,2,uniform,16,2x2_CI,random,176.0
1,3,5,2,uniform,16,2x2_CI,random,199.0
1,3,5,2,uniform,16,2x2_CI,random,195.0
1,3,5,2,uniform,16,2x2_CI,random,175.0
1,3,5,2,uniform,16,2x2_CI,random,160.0
1,3,5,2,uniform,16,2x2_CI,random,223.0
1,3,5,2,uniform,16,2x2_CI,random,194.0
1,3,5,2,uniform,16,2x2_CI,random,189.0
1,3,5,2,uniform,16,2x2_CI,random,165.0
1,3,5,2,uniform,16,2x2_CI,random,231.0
1,3,5,2,uniform,16,2x2_CI,random,141.0
1,3,5,2,uniform,16,2x2_CI,random,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,209.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,166.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,152.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,127.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,198.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,260.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,123.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,198.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,209.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,204.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,192.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,217.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,181.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,156.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,198.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,169.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,223.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,155.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,258.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,151.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,188.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,164.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,155.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,159.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,153.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,213.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,169.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,146.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,200.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,232.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,204.0
