regime,model,size,policy,arm,favorable_corner,makespan
E2_c2,batched,6,fifo,favorable,LC_HI,213.0
E2_c2,batched,6,fifo,favorable,LC_HI,144.0
E2_c2,batched,6,fifo,favorable,LC_HI,126.0
E2_c2,batched,6,fifo,favorable,LC_HI,199.0
E2_c2,batched,6,fifo,favorable,LC_HI,116.0
E2_c2,batched,6,fifo,favorable,LC_HI,174.0
E2_c2,batched,6,fifo,favorable,LC_HI,116.0
E2_c2,batched,6,fifo,favorable,LC_HI,116.0
E2_c2,batched,6,fifo,favorable,LC_HI,120.0
E2_c2,batched,6,fifo,favorable,LC_HI,184.0
E2_c2,batched,6,fifo,favorable,LC_HI,105.0
E2_c2,batched,6,fifo,favorable,LC_HI,120.0
E2_c2,batched,6,cluster,random,LC_HI,140.0
E2_c2,batched,6,cluster,random,LC_HI,169.0
E2_c2,batched,6,cluster,random,LC_HI,213.0
E2_c2,batched,6,cluster,random,LC_HI,188.0
E2_c2,batched,6,cluster,random,LC_HI,140.0
E2_c2,batched,6,cluster,random,LC_HI,149.0
E2_c2,batched,6,cluster,random,LC_HI,159.0
E2_c2,batched,6,cluster,random,LC_HI,144.0
E2_c2,batched,6,cluster,random,LC_HI,174.0
E2_c2,batched,6,cluster,random,LC_HI,145.0
E2_c2,batched,6,cluster,random,LC_HI,135.0
E2_c2,batched,6,cluster,random,LC_HI,150.0
E2_c2,batched,6,cluster,random,LC_HI,97.0
E2_c2,batched,6,cluster,random,LC_HI,174.0
E2_c2,batched,6,cluster,random,LC_HI,165.0
E2_c2,batched,6,cluster,random,LC_HI,150.0
E2_c2,batched,6,cluster,random,LC_HI,120.0
E2_c2,batched,6,cluster,random,LC_HI,100.0
E2_c2,batched,6,cluster,random,LC_HI,144.0
E2_c2,batched,6,cluster,random,LC_HI,154.0
E2_c2,batched,6,cluster,favorable,LC_HI,96.0
E2_c2,batched,6,cluster,favorable,LC_HI,125.0
E2_c2,batched,6,cluster,favorable,LC_HI,115.0
E2_c2,batched,6,cluster,favorable,LC_HI,139.0
E2_c2,batched,6,cluster,favorable,LC_HI,185.0
E2_c2,batched,6,cluster,favorable,LC_HI,131.0
E2_c2,batched,6,cluster,favorable,LC_HI,140.0
E2_c2,batched,6,cluster,favorable,LC_HI,130.0
E2_c2,batched,6,cluster,favorable,LC_HI,105.0
E2_c2,batched,6,cluster,favorable,LC_HI,207.0
E2_c2,batched,6,cluster,favorable,LC_HI,116.0
E2_c2,batched,6,cluster,favorable,LC_HI,141.0
E2_c2,batched,6,cluster,favorable,LC_HI,125.0
E2_c2,batched,6,cluster,favorable,LC_HI,130.0
E2_c2,batched,6,cluster,favorable,LC_HI,218.0
E2_c2,batched,6,cluster,favorable,LC_HI,125.0
E2_c2,batched,6,cluster,favorable,LC_HI,91.0
E2_c2,batched,6,cluster,favorable,LC_HI,136.0
E2_c2,batched,6,cluster,favorable,LC_HI,136.0
E2_c2,batched,6,cluster,favorable,LC_HI,151.0
E3_c2,batched,6,fifo,random,LC_HI,164.0
E3_c2,batched,6,fifo,random,LC_HI,121.0
E3_c2,batched,6,fifo,random,LC_HI,92.0
E3_c2,batched,6,fifo,random,LC_HI,97.0
E3_c2,batched,6,fifo,random,LC_HI,125.0
E3_c2,batched,6,fifo,random,LC_HI,159.0
E3_c2,batched,6,fifo,random,LC_HI,105.0
E3_c2,batched,6,fifo,random,LC_HI,140.0
E3_c2,batched,6,fifo,random,LC_HI,101.0
E3_c2,batched,6,fifo,random,LC_HI,92.0
E3_c2,batched,6,fifo,random,LC_HI,121.0
E3_c2,batched,6,fifo,random,LC_HI,136.0
E3_c2,batched,6,fifo,random,LC_HI,101.0
E3_c2,batched,6,fifo,random,LC_HI,110.0
E3_c2,batched,6,fifo,random,LC_HI,102.0
E3_c2,batched,6,fifo,random,LC_HI,135.0
E3_c2,batched,6,fifo,random,LC_HI,96.0
E3_c2,batched,6,fifo,random,LC_HI,111.0
E3_c2,batched,6,fifo,random,LC_HI,97.0
E3_c2,batched,6,fifo,random,LC_HI,130.0
E3_c2,batched,6,fifo,favorable,LC_HI,87.0
E3_c2,batched,6,fifo,favorable,LC_HI,102.0
E3_c2,batched,6,fifo,favorable,LC_HI,116.0
E3_c2,batched,6,fifo,favorable,LC_HI,97.0
E3_c2,batched,6,fifo,favorable,LC_HI,136.0
E3_c2,batched,6,fifo,favorable,LC_HI,111.0
E3_c2,batched,6,fifo,favorable,LC_HI,106.0
E3_c2,batched,6,fifo,favorable,LC_HI,77.0
E3_c2,batched,6,fifo,favorable,LC_HI,92.0
E3_c2,batched,6,fifo,favorable,LC_HI,97.0
E3_c2,batched,6,fifo,favorable,LC_HI,97.0
E3_c2,batched,6,fifo,favorable,LC_HI,73.0
E3_c2,batched,6,fifo,favorable,LC_HI,106.0
E3_c2,batched,6,fifo,favorable,LC_HI,121.0
E3_c2,batched,6,fifo,favorable,LC_HI,106.0
E3_c2,batched,6,fifo,favorable,LC_HI,92.0
E3_c2,batched,6,fifo,favorable,LC_HI,135.0
E3_c2,batched,6,fifo,favorable,LC_HI,116.0
E3_c2,batched,6,fifo,favorable,LC_HI,101.0
E3_c2,batched,6,fifo,favorable,LC_HI,151.0
E3_c2,batched,6,cluster,random,LC_HI,91.0
E3_c2,batched,6,cluster,random,LC_HI,121.0
E3_c2,batched,6,cluster,random,LC_HI,106.0
E3_c2,batched,6,cluster,random,LC_HI,160.0
E3_c2,batched,6,cluster,random,LC_HI,86.0
E3_c2,batched,6,cluster,random,LC_HI,97.0
E3_c2,batched,6,cluster,random,LC_HI,126.0
E3_c2,batched,6,cluster,random,LC_HI,135.0
E3_c2,batched,6,cluster,random,LC_HI,151.0
E3_c2,batched,6,cluster,random,LC_HI,120.0
E3_c2,batched,6,cluster,random,LC_HI,101.0
E3_c2,batched,6,cluster,random,LC_HI,111.0
E3_c2,batched,6,cluster,random,LC_HI,111.0
E3_c2,batched,6,cluster,random,LC_HI,135.0
E3_c2,batched,6,cluster,random,LC_HI,104.0
E3_c2,batched,6,cluster,random,LC_HI,111.0
E3_c2,batched,6,cluster,random,LC_HI,116.0
E3_c2,batched,6,cluster,random,LC_HI,140.0
E3_c2,batched,6,cluster,random,LC_HI,106.0
E3_c2,batched,6,cluster,random,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,107.0
E3_c2,batched,6,cluster,favorable,LC_HI,112.0
E3_c2,batched,6,cluster,favorable,LC_HI,106.0
E3_c2,batched,6,cluster,favorable,LC_HI,96.0
E3_c2,batched,6,cluster,favorable,LC_HI,112.0
E3_c2,batched,6,cluster,favorable,LC_HI,116.0
